Ticker,Ad,Kategori,TEFAS_Kind,Tur,Risk_Deger,Son_Fiyat,RSI,Ret1M,Ret3M,Ret6M,Ret1Y,Ret3Y,Ret5Y,Vol,YF_Symbol,Optima_Skor,PB,PE,DY,_tcmb_guncellendi
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,BIST,,,,130.9,33.8,-8.33,0.0,,0.0,,,67.4,ACSEL.IS,24.0,2.1642404,0.018712971,,
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,BIST,,,,30.2,26.1,-7.19,0.0,,0.0,,,60.9,ADEL.IS,2.0,5.982393,,,
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,BIST,,,,0.92,21.4,-6.12,0.0,,0.0,,,46.0,ADESE.IS,25.0,0.32644176,2.4999998,,
ADLVY,ADLVY (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,ADLVY.IS,0.0,,,,
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST,,,,51.7,33.5,1.17,0.0,,0.0,,,38.2,ADGYO.IS,29.0,1.7274473,,,
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,BIST,,,,13.15,42.0,4.86,0.0,,0.0,,,26.5,AFYON.IS,58.0,0.6757814,21.583332,,
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,BIST,,,,33.4,50.2,3.53,0.0,,0.0,,,39.7,AGHOL.IS,48.0,0.63857645,,,
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,BIST,,,,235.2,15.8,-5.73,0.0,,0.0,,,28.8,AGESA.IS,10.0,,,,
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,BIST,,,,2.5,16.3,-9.75,0.0,,0.0,,,43.9,AGROT.IS,13.0,0.7464491,,,
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST,,,,14.95,25.3,-10.45,0.0,,0.0,,,41.0,AAGYO.IS,15.0,0.64583606,82.33333,,
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST,,,,19.99,54.0,4.57,0.0,,0.0,,,72.2,AHSGY.IS,46.0,1.5163419,4.530516,0.38,
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,BIST,,,,37.16,56.1,15.55,0.0,,0.0,,,46.1,AHGAZ.IS,65.0,1.785256,27.822224,0.16,
AKSFA,AKSFA (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,AKSFA.IS,0.0,,,,
AKFK,AKFK (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,AKFK.IS,0.0,,,,
AKM,AKM (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,AKM.IS,0.0,,,,
AKCVR,AKCVR (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,AKCVR.IS,0.0,,,,
AKBNK,AKBANK T.A.Ş.,BIST,,,,68.75,9.5,2.92,0.0,,0.0,,,47.2,AKBNK.IS,33.0,1.162511,5.614108,,
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,BIST,,,,234.7,69.8,9.16,0.0,,0.0,,,53.9,AKCNS.IS,27.0,1.6636055,71.41994,,
AKDFA,AKDFA (islem gormuyor),BIST,,,,0.0,50.0,0.0,0.0,,0.0,,,30.0,AKDFA.IS,0.0,,,,
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,BIST,,,,2.5,44.0,-5.3,0.0,,0.0,,,35.2,AKYHO.IS,38.0,0.94801223,,,
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,BIST,,,,10.46,19.3,-18.22,0.0,,0.0,,,64.9,AKENR.IS,10.0,0.51458067,,,
